,year,month,n_jams,bt,"ES(0.5, 0.6)"
2015-01,2015,01,8095,-770,8095
2015-02,2015,02,7325,-770.0,7325.0
2015-03,2015,03,10172,315.1,8363.5
2015-04,2015,04,9598,590.92,9138.3
2015-05,2015,05,8608,254.554,9168.61
2015-06,2015,06,10218,493.005,9820.582
2015-07,2015,07,5080,-1077.071,7696.793
2015-08,2015,08,4570,-1691.988,5594.861
2015-09,2015,09,10751,362.45,7326.937
2015-10,2015,10,12661,1853.934,10175.193
2015-11,2015,11,15565,2914.696,13797.064
2015-12,2015,12,10572,1072.768,13641.88
2016-01,2016,01,9100,-611.626,11907.324
2016-02,2016,02,8534,-1440.136,9914.849
2016-03,2016,03,10933,-702.65,9703.857
2016-04,2016,04,12516,351.788,10758.604
2016-05,2016,05,12558,786.071,11834.196
2016-06,2016,06,11645,493.491,12132.633
2016-07,2016,07,6037,-1483.246,9331.562
2016-08,2016,08,4578,-2464.341,6213.158
2016-09,2016,09,12730,230.014,8239.408
2016-10,2016,10,14657,2086.287,11563.211
2016-11,2016,11,17355,3197.938,15502.249
2016-12,2016,12,10230,656.882,14465.093
2017-01,2017,01,8884,-1214.511,12002.988
2017-02,2017,02,9259,-1673.354,10023.738
2017-03,2017,03,10882,-913.869,9616.192
2017-04,2017,04,10858,-267.166,9780.162
2017-05,2017,05,11472,320.535,10492.498
2017-06,2017,06,12120,712.625,11466.516
2017-07,2017,07,5802,-1200.517,8990.571
2017-08,2017,08,4483,-2192.633,6136.527
2017-09,2017,09,9479,-532.101,6711.447
2017-10,2017,10,11213,977.995,8696.173
2017-11,2017,11,13081,2000.045,11377.584
2017-12,2017,12,9990,983.756,11683.814
2018-01,2018,01,9294,-28.315,10980.785
2018-02,2018,02,8047,-899.956,9499.735
2018-03,2018,03,12323,217.01,10461.39
2018-04,2018,04,13019,919.19,11848.7
2018-05,2018,05,14194,1347.023,13480.945
2018-06,2018,06,11291,285.933,13059.484
2018-07,2018,07,7634,-1427.492,10489.708
2018-08,2018,08,4432,-2816.557,6747.108
2018-09,2018,09,11776,-462.922,7853.275
2018-10,2018,10,17441,2552.272,12415.677
2018-11,2018,11,13964,2251.087,14465.974
2018-12,2018,12,10312,329.569,13514.531
2019-01,2019,01,10359,-715.961,12101.55
2019-02,2019,02,10506,-979.838,10945.794
2019-03,2019,03,12533,-209.725,11249.478
2019-04,2019,04,17231,1647.649,14135.377
2019-05,2019,05,14118,1148.141,14950.513
2019-06,2019,06,14570,689.545,15334.327
2019-07,2019,07,10153,-1071.717,13088.436
2019-08,2019,08,5665,-2977.232,8840.86
2019-09,2019,09,13404,-715.121,9633.814
2019-10,2019,10,23430,3638.271,16174.346
2019-11,2019,11,19188,3450.886,19500.309
2019-12,2019,12,12608,347.928,17779.598
