,year,month,n_jams,ES(0.3)
2015-01,2015,01,8095,8095
2015-02,2015,02,7325,7864.0
2015-03,2015,03,10172,8556.4
2015-04,2015,04,9598,8868.88
2015-05,2015,05,8608,8790.616
2015-06,2015,06,10218,9218.831
2015-07,2015,07,5080,7977.182
2015-08,2015,08,4570,6955.027
2015-09,2015,09,10751,8093.819
2015-10,2015,10,12661,9463.973
2015-11,2015,11,15565,11294.281
2015-12,2015,12,10572,11077.597
2016-01,2016,01,9100,10484.318
2016-02,2016,02,8534,9899.223
2016-03,2016,03,10933,10209.356
2016-04,2016,04,12516,10901.349
2016-05,2016,05,12558,11398.344
2016-06,2016,06,11645,11472.341
2016-07,2016,07,6037,9841.739
2016-08,2016,08,4578,8262.617
2016-09,2016,09,12730,9602.832
2016-10,2016,10,14657,11119.082
2016-11,2016,11,17355,12989.858
2016-12,2016,12,10230,12161.9
2017-01,2017,01,8884,11178.53
2017-02,2017,02,9259,10602.671
2017-03,2017,03,10882,10686.47
2017-04,2017,04,10858,10737.929
2017-05,2017,05,11472,10958.15
2017-06,2017,06,12120,11306.705
2017-07,2017,07,5802,9655.294
2017-08,2017,08,4483,8103.606
2017-09,2017,09,9479,8516.224
2017-10,2017,10,11213,9325.257
2017-11,2017,11,13081,10451.98
2017-12,2017,12,9990,10313.386
2018-01,2018,01,9294,10007.57
2018-02,2018,02,8047,9419.399
2018-03,2018,03,12323,10290.479
2018-04,2018,04,13019,11109.036
2018-05,2018,05,14194,12034.525
2018-06,2018,06,11291,11811.467
2018-07,2018,07,7634,10558.227
2018-08,2018,08,4432,8720.359
2018-09,2018,09,11776,9637.051
2018-10,2018,10,17441,11978.236
2018-11,2018,11,13964,12573.965
2018-12,2018,12,10312,11895.376
2019-01,2019,01,10359,11434.463
2019-02,2019,02,10506,11155.924
2019-03,2019,03,12533,11569.047
2019-04,2019,04,17231,13267.633
2019-05,2019,05,14118,13522.743
2019-06,2019,06,14570,13836.92
2019-07,2019,07,10153,12731.744
2019-08,2019,08,5665,10611.721
2019-09,2019,09,13404,11449.405
2019-10,2019,10,23430,15043.583
2019-11,2019,11,19188,16286.908
2019-12,2019,12,12608,15183.236
